originZip,originCity,originState,originCountry,destZip,destCity,destState,destCountry,scac,carrierName,lane,miles,originLat,originLng,destLat,destLng,equipmentTypeDesc,equipmentTypeCode,shipmentDate,lineHaul,accessorials,tax,fuel,shipper,consignee,direction
64120,Kansas City,MO,US,90021,Los Angeles,CA,US,PAMT,PAM Transport,US-MO-Kansas City-TO-Los Angeles-CA-US-SD,1358,39.13,-94.52,34.03,-118.23,Step Deck,SD,2025-10-18,1808.54,470.31,130.22,325.54,Stark Components,Pied Piper Warehousing,outbound
07102,Newark,NJ,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2025-12-14,2303.8,96.05,140.73,414.68,Globex Industries,Massive Dynamic,third party
80216,Denver,CO,US,37210,Nashville,TN,US,PAMT,PAM Transport,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2025-07-07,1859.15,121.45,115.76,334.65,Acme Manufacturing,Massive Dynamic,inbound
80216,Denver,CO,US,33101,Miami,FL,US,KNXX,Knight Transportation,US-CO-Denver-TO-Miami-FL-US-VN,1725,39.79,-104.97,25.78,-80.2,Dry Van,VN,2026-03-14,2369.37,93.67,144.48,426.49,Hooli Materials,Wonka Markets,outbound
37210,Nashville,TN,US,85034,Phoenix,AZ,US,KNXX,Knight Transportation,US-TN-Nashville-TO-Phoenix-AZ-US-FB,1444,36.13,-86.74,33.43,-112.04,Flatbed,FB,2025-07-17,2953.56,122.42,180.38,531.64,Acme Manufacturing,Vandelay Imports,third party
33101,Miami,FL,US,85034,Phoenix,AZ,US,SCNN,Schneider National,US-FL-Miami-TO-Phoenix-AZ-US-RF,1976,25.78,-80.2,33.43,-112.04,Reefer,RF,2025-07-30,4827.22,0,284.81,868.9,Globex Industries,Wonka Markets,intercompany
43215,Columbus,OH,US,33101,Miami,FL,US,KNXX,Knight Transportation,US-OH-Columbus-TO-Miami-FL-US-HS,993,39.96,-82.99,25.78,-80.2,Hotshot,HS,2025-12-03,2110.01,499.71,149.48,379.8,Umbrella Foods,Wonka Markets,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2026-01-25,2472.67,0,145.89,445.08,Umbrella Foods,Pied Piper Warehousing,third party
80216,Denver,CO,US,43215,Columbus,OH,US,SWFT,Swift Logistics,US-CO-Denver-TO-Columbus-OH-US-FB,1163,39.79,-104.97,39.96,-82.99,Flatbed,FB,2025-08-22,4631.19,472.79,296.88,833.61,Hooli Materials,Pied Piper Warehousing,outbound
37210,Nashville,TN,US,85034,Phoenix,AZ,US,JBHT,J.B. Hunt Freight,US-TN-Nashville-TO-Phoenix-AZ-US-FB,1444,36.13,-86.74,33.43,-112.04,Flatbed,FB,2025-11-30,3893.83,0,229.74,700.89,Acme Manufacturing,Vandelay Imports,inbound
85034,Phoenix,AZ,US,75201,Dallas,TX,US,WERN,Werner Enterprises,US-AZ-Phoenix-TO-Dallas-TX-US-HS,882,33.43,-112.04,32.78,-96.8,Hotshot,HS,2026-03-14,1575.52,0,92.96,283.59,Umbrella Foods,Cyberdyne Stores,third party
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,KNXX,Knight Transportation,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2026-03-31,2536.12,485.88,173.93,456.5,Stark Components,Vandelay Imports,outbound
64120,Kansas City,MO,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-MO-Kansas City-TO-Dallas-TX-US-RF,457,39.13,-94.52,32.78,-96.8,Reefer,RF,2025-09-25,469.41,0,27.7,84.49,Globex Industries,Cyberdyne Stores,third party
98108,Seattle,WA,US,07102,Newark,NJ,US,SWFT,Swift Logistics,US-WA-Seattle-TO-Newark-NJ-US-FB,2393,47.55,-122.31,40.74,-74.17,Flatbed,FB,2026-06-04,5727.63,0,337.93,1030.97,Stark Components,Pied Piper Warehousing,outbound
80216,Denver,CO,US,30303,Atlanta,GA,US,SWFT,Swift Logistics,US-CO-Denver-TO-Atlanta-GA-US-FB,1210,39.79,-104.97,33.75,-84.39,Flatbed,FB,2025-08-06,2374.85,495.05,164.87,427.47,Umbrella Foods,Northwind Retail,inbound
90021,Los Angeles,CA,US,80216,Denver,CO,US,SCNN,Schneider National,US-CA-Los Angeles-TO-Denver-CO-US-FB,832,34.03,-118.23,39.79,-104.97,Flatbed,FB,2025-11-13,1633.48,0,96.38,294.03,Wayne Distribution,Tyrell Depot,outbound
80216,Denver,CO,US,33101,Miami,FL,US,JBHT,J.B. Hunt Freight,US-CO-Denver-TO-Miami-FL-US-VN,1725,39.79,-104.97,25.78,-80.2,Dry Van,VN,2026-03-23,3980.22,0,234.83,716.44,Stark Components,Pied Piper Warehousing,outbound
80216,Denver,CO,US,37210,Nashville,TN,US,CRST,CRST Carriers,US-CO-Denver-TO-Nashville-TN-US-RF,1023,39.79,-104.97,36.13,-86.74,Reefer,RF,2025-07-04,2973.42,0,175.43,535.22,Initech Supply,Massive Dynamic,third party
80216,Denver,CO,US,43215,Columbus,OH,US,KNXX,Knight Transportation,US-CO-Denver-TO-Columbus-OH-US-FB,1163,39.79,-104.97,39.96,-82.99,Flatbed,FB,2025-08-24,4311.89,0,254.4,776.14,Initech Supply,Pied Piper Warehousing,inbound
64120,Kansas City,MO,US,90021,Los Angeles,CA,US,PAMT,PAM Transport,US-MO-Kansas City-TO-Los Angeles-CA-US-SD,1358,39.13,-94.52,34.03,-118.23,Step Deck,SD,2025-08-29,2948.57,134.4,180.69,530.74,Globex Industries,Gekko Wholesale,outbound
07102,Newark,NJ,US,90021,Los Angeles,CA,US,PAMT,PAM Transport,US-NJ-Newark-TO-Los Angeles-CA-US-FB,2437,40.74,-74.17,34.03,-118.23,Flatbed,FB,2025-08-05,5962.47,363.62,369.97,1073.25,Hooli Materials,Tyrell Depot,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,USXP,US Xpress,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2026-02-26,2656.37,497.39,181.6,478.15,Initech Supply,Cyberdyne Stores,inbound
07102,Newark,NJ,US,90021,Los Angeles,CA,US,SWFT,Swift Logistics,US-NJ-Newark-TO-Los Angeles-CA-US-FB,2437,40.74,-74.17,34.03,-118.23,Flatbed,FB,2025-12-02,4226.49,363.37,267.53,760.77,Initech Supply,Vandelay Imports,third party
80216,Denver,CO,US,37210,Nashville,TN,US,USXP,US Xpress,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2026-02-25,1965.63,265.3,129.24,353.81,Acme Manufacturing,Gekko Wholesale,third party
07102,Newark,NJ,US,75201,Dallas,TX,US,CRST,CRST Carriers,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2026-03-11,2668.67,53.01,160.1,480.36,Acme Manufacturing,Gekko Wholesale,intercompany
80216,Denver,CO,US,07102,Newark,NJ,US,KNXX,Knight Transportation,US-CO-Denver-TO-Newark-NJ-US-SD,1617,39.79,-104.97,40.74,-74.17,Step Deck,SD,2026-05-27,6377.4,83.3,380.43,1147.93,Umbrella Foods,Vandelay Imports,third party
37210,Nashville,TN,US,85034,Phoenix,AZ,US,JBHT,J.B. Hunt Freight,US-TN-Nashville-TO-Phoenix-AZ-US-FB,1444,36.13,-86.74,33.43,-112.04,Flatbed,FB,2025-06-30,3773.6,0,222.64,679.25,Hooli Materials,Pied Piper Warehousing,outbound
07102,Newark,NJ,US,75201,Dallas,TX,US,PAMT,PAM Transport,US-NJ-Newark-TO-Dallas-TX-US-RF,1363,40.74,-74.17,32.78,-96.8,Reefer,RF,2026-06-09,4271.12,426.3,273.31,768.8,Wayne Distribution,Vandelay Imports,intercompany
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,JBHT,J.B. Hunt Freight,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2026-06-04,2900.74,426.23,192.46,522.13,Acme Manufacturing,Cyberdyne Stores,third party
80216,Denver,CO,US,07102,Newark,NJ,US,WERN,Werner Enterprises,US-CO-Denver-TO-Newark-NJ-US-SD,1617,39.79,-104.97,40.74,-74.17,Step Deck,SD,2025-08-18,4005.66,336.96,253.18,721.02,Acme Manufacturing,Northwind Retail,outbound
64120,Kansas City,MO,US,75201,Dallas,TX,US,JBHT,J.B. Hunt Freight,US-MO-Kansas City-TO-Dallas-TX-US-RF,457,39.13,-94.52,32.78,-96.8,Reefer,RF,2025-06-28,2025.03,0,119.48,364.51,Acme Manufacturing,Gekko Wholesale,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,JBHT,J.B. Hunt Freight,US-NJ-Newark-TO-Dallas-TX-US-HS,1363,40.74,-74.17,32.78,-96.8,Hotshot,HS,2026-06-13,2710.83,297.31,174.8,487.95,Wayne Distribution,Cyberdyne Stores,outbound
80216,Denver,CO,US,37210,Nashville,TN,US,WERN,Werner Enterprises,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2025-08-19,1437.45,0,84.81,258.74,Acme Manufacturing,Gekko Wholesale,intercompany
80216,Denver,CO,US,43215,Columbus,OH,US,KNXX,Knight Transportation,US-CO-Denver-TO-Columbus-OH-US-FB,1163,39.79,-104.97,39.96,-82.99,Flatbed,FB,2025-07-12,2349.48,403.92,158.82,422.91,Soylent Goods,Wonka Markets,inbound
90021,Los Angeles,CA,US,80216,Denver,CO,US,PAMT,PAM Transport,US-CA-Los Angeles-TO-Denver-CO-US-VN,832,34.03,-118.23,39.79,-104.97,Dry Van,VN,2025-11-17,1519.54,0,89.65,273.52,Acme Manufacturing,Pied Piper Warehousing,intercompany
37210,Nashville,TN,US,60601,Chicago,IL,US,CRST,CRST Carriers,US-TN-Nashville-TO-Chicago-IL-US-FB,400,36.13,-86.74,41.88,-87.63,Flatbed,FB,2025-12-18,830.85,451.94,71.62,149.55,Soylent Goods,Massive Dynamic,inbound
85034,Phoenix,AZ,US,30303,Atlanta,GA,US,SCNN,Schneider National,US-AZ-Phoenix-TO-Atlanta-GA-US-VN,1587,33.43,-112.04,33.75,-84.39,Dry Van,VN,2026-05-12,3042.37,0,179.5,547.63,Initech Supply,Tyrell Depot,outbound
80216,Denver,CO,US,37210,Nashville,TN,US,KNXX,Knight Transportation,US-CO-Denver-TO-Nashville-TN-US-HS,1023,39.79,-104.97,36.13,-86.74,Hotshot,HS,2025-08-26,1694.13,107.06,105.31,304.94,Soylent Goods,Vandelay Imports,inbound
07102,Newark,NJ,US,75201,Dallas,TX,US,WERN,Werner Enterprises,US-NJ-Newark-TO-Dallas-TX-US-RF,1363,40.74,-74.17,32.78,-96.8,Reefer,RF,2026-02-15,5382.6,0,317.57,968.87,Wayne Distribution,Vandelay Imports,third party
85034,Phoenix,AZ,US,75201,Dallas,TX,US,SWFT,Swift Logistics,US-AZ-Phoenix-TO-Dallas-TX-US-HS,882,33.43,-112.04,32.78,-96.8,Hotshot,HS,2026-01-23,1345.19,214.37,90.08,242.13,Initech Supply,Northwind Retail,outbound
43215,Columbus,OH,US,33101,Miami,FL,US,CRST,CRST Carriers,US-OH-Columbus-TO-Miami-FL-US-HS,993,39.96,-82.99,25.78,-80.2,Hotshot,HS,2026-04-03,2346.98,0,138.47,422.46,Stark Components,Gekko Wholesale,third party
